7zip 25.01-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1767980792+707c12b-1
lvm2 2.03.38-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mesa 1:25.3.3-2
meson 1.10.0-4
minecraft-launcher 1:2.1.3-3
minecraft-launcher-debug 1:2.1.3-3
minizip 1:1.3.1-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
muparser 2.3.5-1
nasm 3.01-1
ncurses 6.5-4
ndctl 79-1
neofetch 7.1.0-2
neohtop 1.2.0-1
neohtop-debug 1.2.0-1
neovim 0.11.5-1
nettle 3.10.2-1
networkmanager 1.54.3-1
nftables 1:1.1.6-2
ninja 1.13.2-2
nnn 5.1-1
node-gyp 12.1.0-1
nodejs-lts-jod 22.22.0-1
nodejs-nopt 7.2.1-1
npm 11.7.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.120-1
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nvidia-open-dkms 590.48.01-2
nvidia-utils 590.48.01-2
nvm 0.40.3-1
oniguruma 6.9.10-1
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.6.1-1
orc 0.4.41-1
os-prober 1.83-1
ostree 2025.7-1
p11-kit 0.25.10-2
pacman 7.1.0.r7.gb9f7d4a-1
pacman-mirrorlist 20251021-1
pahole 1:1.31-2
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.1.0-2
paru-debug 2.1.0-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.33-9
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
polkit 127-3
popt 1.19-2
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protonup-qt 2.14.0-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r98+gb096704c0-1
pyside6 6.10.1-2
python 3.14.2-2
python-attrs 25.4.0-3
python-autocommand 2.2.2-9
python-cachetools 6.2.2-2
python-cffi 2.0.0-2
python-charset-normalizer 3.4.4-2
python-coverage 7.13.1-1
python-cryptography 46.0.3-2
python-dbus 1.4.0-2
python-filelock 3.20.3-1
python-gobject 3.54.5-2
python-idna 3.11-2
python-iniconfig 2.1.0-3
python-inputs 0.5-4
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-more-itertools 10.8.0-2
python-nose 1.3.7-19
python-packaging 25.0-4
python-pip 25.3-3
python-platformdirs 4.5.1-3
python-pluggy 1.6.0-3
python-psutil 7.2.1-1
python-pyaml 24.12.0-2
python-pycparser 2.23-2
python-pycryptodomex 3.23.0-2
python-pygments 2.19.2-3
python-pytest 1:8.4.2-3
python-pyxdg 0.28-7
python-requests 2.32.5-3
python-setuptools 1:80.9.0-4
python-six 1.17.0-2
python-steam 1.6.1-1
python-termcolor 3.2.0-3
python-tqdm 4.67.1-5
python-urllib3 2.6.3-1
python-vdf 4.0-5
python-wheel 0.45.1-4
python-wxpython 1:4.2.4-1
python-yaml 6.0.3-2
python-zstandard 0.25.0-2
qemu-base 10.1.2-4
qemu-common 10.1.2-4
qemu-img 10.1.2-4
qemu-system-x86 10.1.2-4
qemu-system-x86-firmware 10.1.2-4
qt5-base 5.15.18+kde+r109-2
qt5-imageformats 5.15.18+kde+r2-1
qt5-networkauth 5.15.18-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-3
qt6-svg 6.10.1-1
qt6-tools 6.10.1-1
qt6-translations 6.10.1-1
quazip-qt5 1.5-1
rav1e 0.8.1-2
rdma-core 60.0-3
re2 2:2025.11.05-1
readline 8.3.003-1
rhash 1.4.6-1
ripgrep 15.1.0-1
rtkit 0.14-1
runc 1.4.0-1
rust 1:1.92.0-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.62-1
sdl3 3.4.0-1
seabios 1.17.0-2
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
shiboken6 6.10.1-2
simdjson 1:4.2.4-1
slang 2.3.3-4
snappy 1.2.2-2
sndio 1.10.0-1
sound-theme-freedesktop 0.8-6
spdlog 1.17.0-1
speexdsp 1.2.1-2
spirv-tools 1:1.4.335.0-1
spotify 1:1.2.79.425-1
sqlite 3.51.2-1
starship 1.24.2-1
steam 1.0.0.85-1
stow 2.4.1-1
sudo 1.9.17.p2-2
svt-av1 3.1.2-1
